matchKey,type,minute,team,player,assist,ownGoal
final-01,goal,2,home,Артем Кравцов,,
final-01,goal,14,home,Артем Кравцов,,
final-01,yellow,44,away,Шедько Егор,,
final-01,yellow,60,away,Остроух Юрий,,
final-01,goal,88,away,Остроух Юрий,,
final-02,goal,45,home,Ловгач Павел,,
final-02,goal,61,home,Арол Нгинтсоп,,
final-02,goal,71,away,Владислав Лыско,,
final-02,goal,75,home,Деменьщин Антон,,
final-02,red,81,home,Литвинов Артемий,,
final-02,goal,82,away,Георгий Марушкин,,
final-03,goal,4,home,Михаил Ладутько,,
final-03,goal,10,home,Владислав Наливайко,,
final-03,goal,30,away,Арол Нгинтсоп,,
final-03,goal,46,away,Арол Нгинтсоп,,
final-03,yellow,55,away,Остроух Юрий,,
final-03,goal,60,home,Адриан Королев,,
final-03,goal,90,home,Адриан Королев,,
#
# Игроки Полоцка записаны в том же виде, что и в Sanity («Фамилия Имя»),
# чтобы голы привязались к профилям. Игроки соперников — как на
# bel.football, они сохраняются текстом, это штатно.
#
# «Деменьщин Антон» в базе отсутствует — гол сохранится текстом.
# Заведи игрока в Studio и перезапусти импорт, чтобы гол ушёл в его статистику.
#
# Жёлтые и красные карточки выписаны только для своих — по ним собирается
# статистика игрока. Карточки соперников опущены.
#
# --- региональный этап: залито 21.09.2026 ---
#fix-10-05,goal,6,away,Филипенко Александр,,
#fix-10-05,goal,20,away,Тамело Дмитрий,,
#fix-31-05,goal,44,away,Тамело Дмитрий,,
#region-14,goal,3,away,Филипенко Александр,,
#region-14,goal,15,home,Зверуго,,
#region-14,goal,51,home,Комисарчук,,
#region-14,goal,54,away,Ловгач Павел,,
#region-14,goal,63,away,Смоляков Виталий,,
#region-14,goal,64,home,Комисарчук,,
#region-14,goal,80,away,Филипенко Александр,,
