key,date,time,competition,tour,home,away,venue,status,hs,as
region-13,2026-08-23,,Вторая лига - Витебский дивизион,13,ПОЛ,ОРШ,,finished,15,0
region-14,2026-08-30,,Вторая лига - Витебский дивизион,14,ПСТ,ПОЛ,,finished,3,4
fix-10-05,2026-05-10,,Вторая лига - Витебский дивизион,1,ГОР,ПОЛ,,finished,0,2
fix-31-05,2026-05-31,,Вторая лига - Витебский дивизион,4,ГАЗ,ПОЛ,,finished,1,1
fix-01-08,2026-08-01,,Вторая лига - Витебский дивизион,10,ПОЛ,МИО,,finished,2,3
fix-09-08,2026-08-09,,Вторая лига - Витебский дивизион,11,ПОЛ,ГАЗ,,finished,3,1
fix-27-05,2026-05-27,,Кубок Беларуси 1/32,-,ПОЛ,UNI,,finished,0,2
#
# Что здесь лежит
#
# region-13, region-14 — два недостающих матча второго круга. Их в базе нет,
#   скрипт создаст новые документы.
#
# fix-* — правки уже заведённых матчей. Скрипт находит их по дню и паре
#   команд и патчит на месте, новых документов не создаёт:
#     fix-10-05, fix-31-05 — добавляют авторов голов (см. events.csv)
#     fix-01-08 — тур 8 → 10
#     fix-09-08 — тур 9 → 11
#     fix-27-05 — снимает лишний tour у кубкового матча ("-" = удалить поле)
#
# Счёт, турнир и статус в fix-строках продублированы из базы как есть —
# перезапись их ничего не меняет.
#
# Даты 22-23 и 29-30 августа с афиши проставлены как 23.08 и 30.08 — уточни,
# если известны точные.
#
# Команды указаны короткими кодами (ПОЛ, ОРШ, ПСТ, ГОР, ГАЗ, МИО, СЕН, UNI) —
# импортёр понимает их наравне с полными названиями.
#
# --- пример формата (строки с # игнорируются) ---
#region-01,2026-04-19,17:00,Вторая лига - Витебский дивизион,1,ПОЛ,СЕН,"Стадион «Спартак», Полоцк",finished,2,1
